Data,Dia da Semana,Hora Exata,Turno,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-07,Quinta-feira,21:07,Noite,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1863,5,CleitinDJPOWER,Dee Jay,Classic,1738,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Normal
2026-05-07,Quinta-feira,21:04,Noite,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1858,0,CleitinDJPOWER,Dee Jay,Classic,1743,Sim,V-D-V,"Super Art (SA), Perfect",Critical Art (CA)
2026-05-07,Quinta-feira,20:52,Noite,Sala Personalizada,Player 1,Derrota ❌,1 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-V-D,Normal,"Normal, Super Art (SA)"
2026-05-07,Quinta-feira,20:49,Noite,Sala Personalizada,Player 1,Derrota ❌,1 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-07,Quinta-feira,20:46,Noite,Sala Personalizada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-07,Quinta-feira,20:44,Noite,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-V-V,"Super Art (SA), Super Art (SA)",Normal
2026-05-07,Quinta-feira,20:40,Noite,Sala Personalizada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-D,Nenhum,"Normal, Critical Art (CA)"
2026-05-07,Quinta-feira,20:37,Noite,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Sim,V-D-V,"Normal, Normal",Normal
2026-05-07,Quinta-feira,20:34,Noite,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-V-V,"Normal, Normal",Perfect
2026-05-07,Quinta-feira,20:31,Noite,Sala Personalizada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-D,Nenhum,"Super Art (SA), Super Art (SA)"
2026-05-07,Quinta-feira,20:29,Noite,Sala Personalizada,Player 1,Derrota ❌,1 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-V-D,Normal,"Normal, Normal"
2026-05-07,Quinta-feira,20:26,Noite,Sala Personalizada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-D,Nenhum,"Normal, Normal"
2026-05-07,Quinta-feira,20:24,Noite,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Sim,V-V,"Normal, Normal",Nenhum
2026-05-07,Quinta-feira,20:22,Noite,Sala Personalizada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1858,0,ZSF Caio Cesar,Mai,Classic,1934,Não,D-D,Nenhum,"Normal, Perfect"
2026-05-07,Quinta-feira,20:21,Noite,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,ZSF | Winter 冬,Elena,1858,10,ZSF Caio Cesar,Mai,Classic,1934,Não,D-V-V,"Super Art (SA), Normal",Over Drive (OD)
2026-05-07,Quinta-feira,20:15,Noite,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1848,10,TomzinMilgrau,JP,Classic,1922,Não,D-V-V,"Over Drive (OD), Critical Art (CA)",Normal
2026-05-07,Quinta-feira,20:11,Noite,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1838,-7,TomzinMilgrau,JP,Classic,1932,Não,D-V-V,"Perfect, Perfect",Chip Damage (C)
2026-05-07,Quinta-feira,20:08,Noite,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1845,-7,@Zenith,C. Viper,Classic,1909,Sim,V-D-D,Over Drive (OD),"Normal, Super Art (SA)"
2026-05-07,Quinta-feira,20:05,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1852,-7,@Zenith,C. Viper,Classic,1902,Não,D-D,Nenhum,"Normal, Normal"
2026-05-07,Quinta-feira,20:03,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1859,-7,ZSF Caio Cesar,Mai,Classic,1919,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-07,Quinta-feira,20:01,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1866,7,ZSF Caio Cesar,Mai,Classic,1912,Não,D-D,Nenhum,"Super Art (SA), Super Art (SA)"
2026-05-07,Quinta-feira,19:57,Noite,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1859,-9,Shinigami,Edmond Honda,Classic,1824,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-07,Quinta-feira,19:54,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1868,7,Shinigami,Edmond Honda,Classic,1815,Não,D-D,Nenhum,"Normal, Critical Art (CA)"
2026-05-07,Quinta-feira,19:52,Noite,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1861,-10,Shinigami,Edmond Honda,Classic,1822,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-07,Quinta-feira,19:50,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1871,-11,2G :1 CUP,Alex,Classic,1771,Não,D-D,Nenhum,"Normal, Normal"
2026-05-07,Quinta-feira,19:48,Noite,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1882,-8,2G :1 CUP,Alex,Classic,1760,Sim,V-D-D,Over Drive (OD),"Over Drive (OD), Over Drive (OD)"
2026-05-07,Quinta-feira,19:43,Noite,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1890,-8,ZSF Zydani,Marisa,Classic,1906,Não,D-D,Nenhum,"Normal, Perfect"
2026-05-07,Quinta-feira,19:41,Noite,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1898,8,ZSF Zydani,Marisa,Classic,1898,Não,D-V-D,Normal,"Normal, Perfect"
