Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-12,Terça-feira,10:19,Manhã,39,-1,Sala Personalizada,Player 2,Derrota ❌,2 x 0,kincho,Terry,2091,0,3857418744,.YAS.,Ryu,Classic,2123,32,Similar,Shoto,A,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-12,Terça-feira,10:17,Manhã,38,2,Sala Personalizada,Player 2,Derrota ❌,2 x 1,kincho,Terry,2091,0,3857418744,.YAS.,Ryu,Classic,2123,32,Similar,Shoto,A,False,Não,D-V-D,Super Art (SA),"Normal, Super Art (SA)"
2026-05-12,Terça-feira,10:12,Manhã,37,1,Sala Personalizada,Player 2,Vitória 🏆,0 x 2,kincho,Terry,2091,0,1471410494,Yanai,Sagat,Classic,2005,-86,Inferior,All-Rounder,S,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,10:10,Manhã,36,-1,Sala Personalizada,Player 2,Vitória 🏆,0 x 2,kincho,Terry,2091,0,1471410494,Yanai,Sagat,Classic,2005,-86,Inferior,All-Rounder,S,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,10:08,Manhã,35,6,Sala Personalizada,Player 2,Derrota ❌,2 x 0,kincho,Terry,2091,0,1471410494,Yanai,Sagat,Classic,2005,-86,Inferior,All-Rounder,S,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-12,Terça-feira,10:05,Manhã,34,5,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,kincho,Terry,2091,0,1275506101,GjijiiG,Marisa,Modern,1931,-160,Inferior,Grappler,D,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-12,Terça-feira,10:02,Manhã,33,4,Sala Personalizada,Player 2,Vitória 🏆,0 x 2,kincho,Terry,2091,0,1275506101,GjijiiG,Marisa,Modern,1931,-160,Inferior,Grappler,D,False,Sim,V-V,"Super Art (SA), Over Drive (OD)",Nenhum
2026-05-12,Terça-feira,09:58,Manhã,32,3,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,kincho,Terry,2091,0,4088416704,orarin,Mai,Classic,2037,-54,Inferior,Rushdown,S,False,Sim,V-D-V,"Super Art (SA), Perfect",Normal
2026-05-12,Terça-feira,09:55,Manhã,31,2,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,kincho,Terry,2091,0,4088416704,orarin,Mai,Classic,2037,-54,Inferior,Rushdown,S,False,Sim,V-D-V,"Super Art (SA), Super Art (SA)",Normal
2026-05-12,Terça-feira,09:52,Manhã,30,1,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,kincho,Terry,2091,0,3854029379,osugi_bent,Cammy,Classic,1923,-168,Inferior,Rushdown,B,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-12,Terça-feira,09:50,Manhã,29,-2,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,kincho,Terry,2091,0,3854029379,osugi_bent,Cammy,Classic,1923,-168,Inferior,Rushdown,B,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,09:28,Manhã,28,-1,Sala Personalizada,Player 2,Derrota ❌,2 x 0,kincho,Terry,2091,0,3623007729,2BASSA,Juri,Classic,1987,-104,Inferior,Rushdown,B,False,Não,D-D,Nenhum,"Super Art (SA), Chip Damage (C)"
2026-05-12,Terça-feira,09:26,Manhã,27,2,Sala Personalizada,Player 2,Derrota ❌,2 x 0,kincho,Terry,2091,0,3623007729,2BASSA,Juri,Classic,1987,-104,Inferior,Rushdown,B,False,Não,D-D,Nenhum,"Normal, Critical Art (CA)"
2026-05-12,Terça-feira,09:22,Manhã,26,1,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,kincho,Terry,2091,0,2262158909,YOKOHAMA_TARO,Chun-Li,Classic,1919,-172,Inferior,All-Rounder,A,False,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Normal
2026-05-12,Terça-feira,09:20,Manhã,25,-1,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,kincho,Terry,2091,0,2262158909,YOKOHAMA_TARO,Chun-Li,Classic,1919,-172,Inferior,All-Rounder,A,False,Sim,V-V,"Super Art (SA), Super Art (SA)",Nenhum
