Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-13,Quarta-feira,21:38,Noite,38,-2,Ranqueada,Player 1,Vitória 🏆,2 x 0,JUST ME,Juri,1751,0,3644230539,Raff_2930,Elena,Classic,1676,-75,Inferior,Unorthodox,C,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-13,Quarta-feira,21:29,Noite,37,-1,Sala Personalizada,Player 2,Derrota ❌,2 x 0,JUST ME,Juri,1751,0,1343776734,Chaolin,Ken,Classic,1825,74,Superior,Shoto,B,False,Não,D-D,Nenhum,"Perfect, Perfect"
2026-05-13,Quarta-feira,21:27,Noite,36,3,Sala Personalizada,Player 1,Derrota ❌,0 x 2,JUST ME,Juri,1751,0,1343776734,Chaolin,Ken,Classic,1825,74,Superior,Shoto,B,False,Não,D-D,Nenhum,"Perfect, Perfect"
2026-05-13,Quarta-feira,21:20,Noite,35,2,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,JUST ME,Juri,1751,0,4125616529,ZSF | Winter 冬,Mai,Classic,1704,-47,Similar,Rushdown,S,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-13,Quarta-feira,21:16,Noite,34,1,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,JUST ME,Juri,1751,0,4125616529,ZSF | Winter 冬,Elena,Classic,1847,96,Superior,Unorthodox,C,False,Não,D-V-V,"Normal, Normal",Super Art (SA)
2026-05-13,Quarta-feira,21:03,Noite,33,-1,Sala Personalizada,Player 2,Vitória 🏆,1 x 2,JUST ME,Juri,1751,0,2743506095,mitonob,Luke,Classic,1578,-173,Inferior,All-Rounder,?,False,Sim,V-D-V,"Normal, Normal",Chip Damage (C)
2026-05-13,Quarta-feira,21:00,Noite,32,3,Sala Personalizada,Player 2,Derrota ❌,2 x 0,JUST ME,Juri,1751,0,2743506095,mitonob,Luke,Classic,1578,-173,Inferior,All-Rounder,?,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-13,Quarta-feira,20:50,Noite,31,2,Sala Personalizada,Player 2,Vitória 🏆,0 x 2,JUST ME,Juri,1751,0,2739765808,VFC | PrimaSuya,Alex,Classic,0,-1751,Muito Inferior,Grappler,B,False,Sim,V-V,"Normal, Perfect",Nenhum
2026-05-13,Quarta-feira,20:49,Noite,30,1,Sala Personalizada,Player 2,Vitória 🏆,0 x 2,JUST ME,Juri,1751,8,2739765808,VFC | PrimaSuya,Alex,Classic,0,-1751,Muito Inferior,Grappler,B,False,Sim,V-V,"Perfect, Normal",Nenhum
2026-05-13,Quarta-feira,20:46,Noite,29,-1,Ranqueada,Player 1,Vitória 🏆,2 x 0,JUST ME,Juri,1743,-9,1099057262,Winper Youtuber,Blanka,Classic,1730,-13,Similar,Unorthodox,A,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
