Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-14,Quinta-feira,13:55,Tarde,70,6,Ranqueada,Player 2,Vitória 🏆,0 x 2,LeShar,Akuma,2134,3,1534209654,中村太一,Guile,Classic,1839,-295,Muito Inferior,Zoner,C,False,Sim,V-V,"Super Art (SA), Super Art (SA)",Nenhum
2026-05-14,Quinta-feira,13:53,Tarde,69,5,Ranqueada,Player 2,Vitória 🏆,0 x 2,LeShar,Akuma,2131,4,1534209654,中村太一,Guile,Classic,1842,-289,Muito Inferior,Zoner,C,False,Sim,V-V,"Normal, Critical Art (CA)",Nenhum
2026-05-14,Quinta-feira,13:49,Tarde,68,4,Ranqueada,Player 1,Vitória 🏆,2 x 1,LeShar,Akuma,2127,5,2234633659,Monsterjujuju,Dhalsim,Classic,1959,-168,Inferior,Zoner,C,False,Não,D-V-V,"Perfect, Perfect",Over Drive (OD)
2026-05-14,Quinta-feira,13:47,Tarde,67,3,Ranqueada,Player 1,Vitória 🏆,2 x 0,LeShar,Akuma,2122,4,2234633659,Monsterjujuju,Dhalsim,Classic,1964,-158,Inferior,Zoner,C,False,Sim,V-V,"Over Drive (OD), Super Art (SA)",Nenhum
2026-05-14,Quinta-feira,13:44,Tarde,66,2,Ranqueada,Player 1,Vitória 🏆,2 x 1,LeShar,Akuma,2118,4,2984352546,草！薙！真！吾！,Luke,Classic,1916,-202,Muito Inferior,All-Rounder,?,False,Sim,V-D-V,"Normal, Super Art (SA)",Normal
2026-05-14,Quinta-feira,13:42,Tarde,65,1,Ranqueada,Player 1,Vitória 🏆,2 x 1,LeShar,Akuma,2114,4,2984352546,草！薙！真！吾！,Luke,Classic,1920,-194,Inferior,All-Rounder,?,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,13:39,Tarde,64,-1,Ranqueada,Player 1,Vitória 🏆,2 x 1,LeShar,Akuma,2110,-12,1910416643,鼎级蘸饭,C. Viper,Modern,1918,-192,Inferior,High-Risk,A,False,Não,D-V-V,"Perfect, Normal",Normal
2026-05-14,Quinta-feira,13:36,Tarde,63,3,Ranqueada,Player 1,Derrota ❌,1 x 2,LeShar,Akuma,2122,4,1910416643,鼎级蘸饭,C. Viper,Modern,1906,-216,Muito Inferior,High-Risk,A,False,Não,D-V-D,Super Art (SA),"Normal, Normal"
2026-05-14,Quinta-feira,13:33,Tarde,62,2,Ranqueada,Player 1,Vitória 🏆,2 x 0,LeShar,Akuma,2118,3,1910416643,鼎级蘸饭,C. Viper,Modern,1910,-208,Muito Inferior,High-Risk,A,False,Sim,V-V,"Time Over, Super Art (SA)",Nenhum
2026-05-14,Quinta-feira,13:30,Tarde,61,1,Ranqueada,Player 1,Vitória 🏆,2 x 0,LeShar,Akuma,2115,3,2354987504,kenpi,Terry,Classic,1855,-260,Muito Inferior,Shoto,S,False,Sim,V-V,"Over Drive (OD), Super Art (SA)",Nenhum
