Data,Dia da Semana,Hora Exata,Turno,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-04,Segunda-feira,10:30,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1845,5,ところん,Zangief,Modern,1684,Sim,V-V,"Chip Damage (C), Super Art (SA)",Nenhum
2026-05-04,Segunda-feira,10:29,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1840,5,ところん,Zangief,Modern,1689,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-04,Segunda-feira,10:26,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1835,-12,Xiaopai1127,Ed,Classic,1682,Sim,V-V,"Over Drive (OD), Super Art (SA)",Nenhum
2026-05-04,Segunda-feira,10:24,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Ryu,1847,4,Xiaopai1127,Ed,Classic,1670,Não,D-V-D,Super Art (SA),"Normal, Normal"
2026-05-04,Segunda-feira,10:22,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Nagoya Kun,Ryu,1843,-81,Xiaopai1127,Ed,Classic,1674,Não,D-V-V,"Normal, Normal",Normal
2026-05-04,Segunda-feira,09:57,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-D-D,Super Art (SA),"Normal, Normal"
2026-05-04,Segunda-feira,09:54,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-D-D,Super Art (SA),"Over Drive (OD), Normal"
2026-05-04,Segunda-feira,09:51,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Perfect, Critical Art (CA)",Nenhum
2026-05-04,Segunda-feira,09:50,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-V-D,Super Art (SA),"Normal, Normal"
2026-05-04,Segunda-feira,09:47,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Super Art (SA), Normal",Nenhum
2026-05-04,Segunda-feira,09:44,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-D-D,Over Drive (OD),"Normal, Super Art (SA)"
2026-05-04,Segunda-feira,09:41,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Sagat,1924,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Over Drive (OD), Normal"
2026-05-04,Segunda-feira,09:38,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Sagat,1924,81,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Super Art (SA), Normal",Nenhum
2026-05-04,Segunda-feira,09:35,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Perfect, Normal"
2026-05-04,Segunda-feira,09:33,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Over Drive (OD), Perfect",Nenhum
2026-05-04,Segunda-feira,09:32,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-D-V,"Perfect, Over Drive (OD)",Normal
2026-05-04,Segunda-feira,09:29,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Normal, Normal"
2026-05-04,Segunda-feira,09:27,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Normal, Normal"
2026-05-04,Segunda-feira,09:25,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Normal, Normal"
2026-05-04,Segunda-feira,09:24,Manhã,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-D,Nenhum,"Normal, Normal"
2026-05-04,Segunda-feira,09:21,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-V-D,Normal,"Super Art (SA), Normal"
2026-05-04,Segunda-feira,09:18,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Normal, Normal",Nenhum
2026-05-04,Segunda-feira,09:17,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Normal, Normal",Nenhum
2026-05-04,Segunda-feira,09:15,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-04,Segunda-feira,09:12,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-V-D,Super Art (SA),"Normal, Perfect"
2026-05-04,Segunda-feira,09:10,Manhã,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Sim,V-V,"Normal, Perfect",Nenhum
2026-05-04,Segunda-feira,09:08,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-V-D,Chip Damage (C),"Normal, Super Art (SA)"
2026-05-04,Segunda-feira,09:06,Manhã,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Nagoya Kun,Ryu,1843,0,hikaru_shiftne,A.K.I.,Classic,1889,Não,D-V-D,Normal,"Super Art (SA), Normal"
