Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-14,Quinta-feira,01:39,Madrugada,10,-1,Ranqueada,Player 2,Derrota ❌,2 x 1,NEPHEW237142,Sagat,1837,-9,1361108207,DEEBONEZ,Guile,Classic,1819,-18,Similar,Zoner,C,False,Não,D-V-D,Critical Art (CA),"Normal, Super Art (SA)"
2026-05-14,Quinta-feira,01:36,Madrugada,9,3,Ranqueada,Player 2,Derrota ❌,2 x 0,NEPHEW237142,Sagat,1846,8,1361108207,DEEBONEZ,Guile,Classic,1810,-36,Similar,Zoner,C,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-14,Quinta-feira,01:34,Madrugada,8,2,Ranqueada,Player 2,Vitória 🏆,1 x 2,NEPHEW237142,Sagat,1838,-172,1361108207,DEEBONEZ,Guile,Classic,1818,-20,Similar,Zoner,C,False,Sim,V-D-V,"Normal, Chip Damage (C)",Normal
2026-05-14,Quinta-feira,01:30,Madrugada,7,1,Ranqueada,Player 2,Vitória 🏆,1 x 2,NEPHEW237142,Juri,2010,4,2518537544,RicRoop,Marisa,Classic,1831,-179,Inferior,Grappler,D,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,01:28,Madrugada,6,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,NEPHEW237142,Juri,2006,-12,2518537544,RicRoop,Marisa,Classic,1835,-171,Inferior,Grappler,D,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,01:25,Madrugada,5,6,Ranqueada,Player 2,Derrota ❌,2 x 1,NEPHEW237142,Juri,2018,1,2518537544,RicRoop,Marisa,Classic,1823,-195,Inferior,Grappler,D,False,Sim,V-D-D,Normal,"Normal, Normal"
2026-05-14,Quinta-feira,01:21,Madrugada,4,5,Ranqueada,Player 1,Vitória 🏆,2 x 0,NEPHEW237142,Juri,2017,1,3987290265,Miceston,A.K.I.,Classic,1552,-465,Muito Inferior,Unorthodox,B,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-14,Quinta-feira,01:20,Madrugada,3,4,Ranqueada,Player 1,Vitória 🏆,2 x 1,NEPHEW237142,Juri,2016,4,3987290265,Miceston,A.K.I.,Classic,1553,-463,Muito Inferior,Unorthodox,B,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,01:16,Madrugada,2,3,Ranqueada,Player 1,Vitória 🏆,2 x 1,NEPHEW237142,Juri,2012,4,2282610150,NORESPECT,Alex,Classic,1816,-196,Inferior,Grappler,B,False,Sim,V-D-V,"Super Art (SA), Over Drive (OD)",Normal
2026-05-14,Quinta-feira,01:14,Madrugada,1,2,Ranqueada,Player 1,Vitória 🏆,2 x 0,NEPHEW237142,Juri,2008,6,2282610150,NORESPECT,Alex,Classic,1820,-188,Inferior,Grappler,B,False,Sim,V-V,"Normal, Over Drive (OD)",Nenhum
