Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-14,Quinta-feira,12:19,Tarde,100,1,Ranqueada,Player 2,Vitória 🏆,0 x 2,kosaku,Elena,2060,7,1900338329,Babaaaaa,Manon,Classic,1994,-66,Inferior,Grappler,C,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-14,Quinta-feira,12:17,Tarde,99,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,kosaku,Elena,2053,-10,1900338329,Babaaaaa,Manon,Classic,2001,-52,Inferior,Grappler,C,False,Não,D-V-V,"Normal, Super Art (SA)",Super Art (SA)
2026-05-14,Quinta-feira,12:15,Tarde,98,1,Ranqueada,Player 2,Derrota ❌,2 x 1,kosaku,Elena,2063,6,1900338329,Babaaaaa,Manon,Classic,1991,-72,Inferior,Grappler,C,False,Sim,V-D-D,Normal,"Normal, Normal"
2026-05-14,Quinta-feira,12:12,Tarde,97,-1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kosaku,Elena,2057,-10,1712933860,ジャグタロ,Dee Jay,Classic,1966,-91,Inferior,Rushdown,B,False,Sim,V-V,"Over Drive (OD), Critical Art (CA)",Nenhum
2026-05-14,Quinta-feira,12:10,Tarde,96,5,Ranqueada,Player 1,Derrota ❌,1 x 2,kosaku,Elena,2067,6,1712933860,ジャグタロ,Dee Jay,Classic,1956,-111,Inferior,Rushdown,B,False,Sim,V-D-D,Normal,"Super Art (SA), Normal"
2026-05-14,Quinta-feira,12:08,Tarde,95,4,Ranqueada,Player 1,Vitória 🏆,2 x 1,kosaku,Elena,2061,7,1712933860,ジャグタロ,Dee Jay,Classic,1962,-99,Inferior,Rushdown,B,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,12:05,Tarde,94,3,Ranqueada,Player 2,Vitória 🏆,0 x 2,kosaku,Elena,2054,7,1051410689,Sahara,Akuma,Classic,1995,-59,Inferior,Shoto,A,False,Sim,V-V,"Over Drive (OD), Super Art (SA)",Nenhum
2026-05-14,Quinta-feira,12:03,Tarde,93,2,Ranqueada,Player 2,Vitória 🏆,1 x 2,kosaku,Elena,2047,6,1051410689,Sahara,Akuma,Classic,2002,-45,Similar,Shoto,A,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,11:59,Manhã,92,1,Ranqueada,Player 2,Vitória 🏆,0 x 2,kosaku,Elena,2041,6,1563022046,Pipokun,Kimberly,Classic,1954,-87,Inferior,Rushdown,B,False,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-14,Quinta-feira,11:58,Manhã,91,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,kosaku,Elena,2035,-10,1563022046,Pipokun,Kimberly,Classic,1960,-75,Inferior,Rushdown,B,False,Não,D-V-V,"Normal, Super Art (SA)",Super Art (SA)
