Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-12,Terça-feira,17:55,Tarde,65,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,Kakeru,A.K.I.,1770,-10,2256152633,まぬいんぐ,A.K.I.,Classic,1719,-51,Inferior,Unorthodox,B,True,Não,D-V-V,"Normal, Normal",Normal
2026-05-12,Terça-feira,17:52,Tarde,64,1,Ranqueada,Player 2,Derrota ❌,2 x 0,Kakeru,A.K.I.,1780,7,2256152633,まぬいんぐ,A.K.I.,Classic,1709,-71,Inferior,Unorthodox,B,True,Não,D-D,Nenhum,"Over Drive (OD), Super Art (SA)"
2026-05-12,Terça-feira,17:50,Tarde,63,-2,Ranqueada,Player 2,Vitória 🏆,1 x 2,Kakeru,A.K.I.,1773,-6,2256152633,まぬいんぐ,A.K.I.,Classic,1716,-57,Inferior,Unorthodox,B,True,Sim,V-D-V,"Normal, Super Art (SA)",Super Art (SA)
2026-05-12,Terça-feira,17:46,Tarde,62,-1,Ranqueada,Player 1,Derrota ❌,0 x 2,Kakeru,A.K.I.,1779,-6,2229037118,LFC_ポタイズ,JP,Classic,1865,86,Superior,Zoner,S,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-12,Terça-feira,17:44,Tarde,61,4,Ranqueada,Player 1,Derrota ❌,0 x 2,Kakeru,A.K.I.,1785,8,2229037118,LFC_ポタイズ,JP,Classic,1859,74,Superior,Zoner,S,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-12,Terça-feira,17:41,Tarde,60,3,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1777,9,3699648350,ダカラナンダヨ,Akuma,Classic,1781,4,Similar,Shoto,A,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,17:39,Tarde,59,2,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1768,7,3699648350,ダカラナンダヨ,Akuma,Classic,1790,22,Similar,Shoto,A,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-12,Terça-feira,17:36,Tarde,58,1,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1761,8,3145571384,Yoona,Ed,Classic,1736,-25,Similar,Shoto,S,False,Sim,V-V,"Normal, Critical Art (CA)",Nenhum
2026-05-12,Terça-feira,17:35,Tarde,57,-1,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1753,-8,3145571384,Yoona,Ed,Classic,1744,-9,Similar,Shoto,S,False,Sim,V-D-V,"Normal, Normal",Perfect
2026-05-12,Terça-feira,17:31,Tarde,56,5,Ranqueada,Player 2,Derrota ❌,2 x 1,Kakeru,A.K.I.,1761,8,3103166791,semi4GRe,Juri,Classic,1764,3,Similar,Rushdown,B,False,Não,D-V-D,Over Drive (OD),"Normal, Normal"
2026-05-12,Terça-feira,17:26,Tarde,55,4,Ranqueada,Player 2,Vitória 🏆,0 x 2,Kakeru,A.K.I.,1753,8,2633347808,ken0326,Ken,Modern,1752,-1,Similar,Shoto,B,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,17:24,Tarde,54,3,Ranqueada,Player 2,Vitória 🏆,0 x 2,Kakeru,A.K.I.,1745,8,2633347808,ken0326,Ken,Modern,1760,15,Similar,Shoto,B,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,17:05,Tarde,53,2,Ranqueada,Player 2,Vitória 🏆,0 x 2,Kakeru,A.K.I.,1737,9,3941972593,るとおおインパクト返せない,Terry,Classic,1747,10,Similar,Shoto,S,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,17:03,Tarde,52,1,Ranqueada,Player 2,Vitória 🏆,1 x 2,Kakeru,A.K.I.,1728,9,3941972593,るとおおインパクト返せない,Terry,Classic,1756,28,Similar,Shoto,S,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-12,Terça-feira,17:00,Tarde,51,-1,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1719,-8,1614493452,強い方カスタムお誘いさせて,M. Bison,Classic,1754,35,Similar,All-Rounder,A,False,Não,D-V-V,"Normal, Super Art (SA)",Chip Damage (C)
2026-05-12,Terça-feira,16:57,Tarde,50,15,Ranqueada,Player 1,Derrota ❌,0 x 2,Kakeru,A.K.I.,1727,9,1614493452,強い方カスタムお誘いさせて,M. Bison,Classic,1746,19,Similar,All-Rounder,A,False,Não,D-D,Nenhum,"Perfect, Normal"
2026-05-12,Terça-feira,16:56,Tarde,49,14,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1718,7,1614493452,強い方カスタムお誘いさせて,M. Bison,Classic,1755,37,Similar,All-Rounder,A,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,16:54,Tarde,48,13,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1711,8,1791631621,mametsubu,Ken,Classic,1677,-34,Similar,Shoto,B,False,Sim,V-D-V,"Normal, Super Art (SA)",Perfect
2026-05-12,Terça-feira,16:51,Tarde,47,12,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1703,9,1791631621,mametsubu,Ken,Classic,1685,-18,Similar,Shoto,B,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,16:49,Tarde,46,11,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1694,9,3581279398,るぅちゃん,Akuma,Classic,1728,34,Similar,Shoto,A,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,16:48,Tarde,45,10,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1685,8,3581279398,るぅちゃん,Akuma,Classic,1737,52,Superior,Shoto,A,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-12,Terça-feira,16:46,Tarde,44,9,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1677,8,3199791182,TAKAMIKA,Ryu,Classic,1676,-1,Similar,Shoto,A,False,Sim,V-V,"Super Art (SA), Normal",Nenhum
2026-05-12,Terça-feira,16:44,Tarde,43,8,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1669,7,3199791182,TAKAMIKA,Ryu,Classic,1684,15,Similar,Shoto,A,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,16:12,Tarde,42,7,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1662,7,1884423995,Futom4sa,Jamie,Classic,1620,-42,Similar,All-Rounder,D,False,Sim,V-D-V,"Normal, Critical Art (CA)",Normal
2026-05-12,Terça-feira,16:08,Tarde,41,6,Ranqueada,Player 1,Vitória 🏆,2 x 1,Kakeru,A.K.I.,1655,7,1884423995,Futom4sa,Jamie,Classic,1627,-28,Similar,All-Rounder,D,False,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Super Art (SA)
2026-05-12,Terça-feira,16:00,Tarde,40,5,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1648,8,4267112074,のびすけ,C. Viper,Modern,1623,-25,Similar,High-Risk,A,False,Sim,V-V,"Perfect, Super Art (SA)",Nenhum
2026-05-12,Terça-feira,15:59,Tarde,39,4,Ranqueada,Player 1,Vitória 🏆,2 x 0,Kakeru,A.K.I.,1640,7,4267112074,のびすけ,C. Viper,Modern,1631,-9,Similar,High-Risk,A,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
